,Contact ID,Average Pageviews,Number of Pageviews,Number of Sessions,IP Country,url0,url1,url2,url3
1738,4614,2,10,5,colombia,2,4,3,3
1763,4774,1,8,7,france,3,3,3,1
1770,205,2,13,5,ireland,6,3,6,6
1772,240,1,1,1,united states,5,0,0,0
1773,295,1,3,2,india,2,4,0,0
1785,3134,4,12,3,france,7,3,3,3
1790,3288,2,2,1,sweden,3,0,0,0
1799,3454,0,1,2,india,5,0,0,0
1812,642,1,1,1,united kingdom,3,0,0,0
1833,1180,1,8,6,india,3,7,11,7
1836,1241,0,0,1,india,5,0,0,0
1837,1406,2,2,1,ireland,4,13,0,0
1845,1623,0,0,1,singapore,3,0,0,0
1851,3067,3,3,1,india,3,5,0,0
1853,3090,1,26,18,united states,3,8,2,3
1865,1766,1,1,1,india,3,0,0,0
1887,3235,1,1,1,united states,3,0,0,0
1891,2080,1,1,1,united states,3,0,0,0
1903,2424,1,12,8,united states,3,3,5,4
1908,2487,1,14,12,india,3,0,0,0
1935,3034,3,6,2,india,5,3,5,0
1937,3059,2,2,1,india,4,0,0,0
1949,8321,1,22,14,germany,3,3,7,8
1955,1100,3,12,4,india,6,4,2,4
1979,3114,1,1,1,india,3,0,0,0
2002,2163,1,1,1,india,1,0,0,0
2011,2341,3,6,2,united states,7,3,6,3
2031,2708,1,1,1,united arab emirates,8,0,0,0
2034,3037,1,9,5,france,8,2,6,0
2035,3093,1,1,1,india,5,0,0,0
2037,3118,1,3,2,united kingdom,5,5,0,0
2059,3486,1,1,1,united states,5,0,0,0
2073,1139,1,8,5,india,4,2,4,5
2083,3195,0,0,1,poland,5,0,0,0
2120,4240,1,1,1,india,5,0,0,0
2124,4392,0,7,8,australia,3,5,0,0
2126,4438,1,1,1,united kingdom,5,0,0,0
2128,4444,0,2,3,united kingdom,5,0,0,0
2138,3210,1,5,4,india,3,0,0,0
2154,3812,0,0,1,france,7,0,0,0
2156,4559,2,5,2,nigeria,4,3,6,0
2158,8451,1,1,1,canada,3,0,0,0
2199,3345,1,3,2,united states,3,0,0,0
2201,3821,1,1,1,japan,3,0,0,0
2208,3978,1,5,3,india,6,7,3,3
2218,4651,1,1,1,united states,5,0,0,0
2222,1485,3,31,10,united states,1,9,9,1
2238,4619,1,25,14,spain,3,3,6,7
2288,3489,0,2,3,switzerland,3,3,0,0
2294,4193,2,2,1,serbia,1,3,0,0
2297,4218,6,6,1,spain,1,8,6,3
2310,1477,1,6,4,united states,3,5,3,0
2323,3606,0,0,1,united kingdom,4,0,0,0
2328,3642,2,6,3,india,3,3,3,7
2332,4199,3,6,2,united states,7,1,7,1
