,event1,event2,event3,event4
548,C,G,A,B
549,A,G,B,B
550,G,G,B,B
551,M,C,B,H
552,C,B,M,G
553,G,G,B,B
554,G,G,C,G
555,B,B,B,E
556,G,F,C,H
557,C,G,C,G
558,A,G,B,A
559,G,B,A,G
560,G,G,G,G
561,B,B,A,C
562,B,G,B,G
563,E,B,G,D
564,C,G,G,G
565,G,A,B,F
566,G,G,A,G
567,C,G,B,G
568,E,B,G,B
569,A,C,I,C
570,E,B,G,G
571,G,B,G,A
572,A,B,G,G
573,C,G,G,G
574,G,B,G,A
575,A,B,G,G
576,G,G,B,G
577,G,C,B,G
578,B,C,G,G
579,Q,A,C,G
580,G,G,B,G
581,E,B,C,B
582,B,G,F,G
583,C,G,A,G
584,G,B,B,G
585,B,G,B,B
586,E,G,G,G
587,J,G,B,G
588,G,E,B,E
589,B,B,G,A
590,C,D,B,B
591,B,C,B,G
592,B,G,B,B
593,B,G,A,G
594,H,B,A,G
595,F,G,A,B
596,G,K,A,B
597,B,G,F,G
598,B,G,C,G
599,G,B,G,G
600,G,B,G,B
601,B,B,C,A
602,E,M,B,G
603,E,C,G,B
604,G,E,C,G
605,C,H,A,G
606,G,G,G,G
607,G,G,G,G
608,G,B,G,B
609,A,G,G,M
610,G,G,B,G
611,A,C,B,B
612,G,G,G,G
613,B,G,B,B
614,G,B,G,G
615,G,C,B,G
616,C,C,A,G
617,B,G,B,A
618,G,H,G,B
619,F,H,B,G
620,C,G,B,G
621,G,B,G,B
622,E,G,B,G
623,E,B,G,G
624,G,E,B,B
625,G,G,G,G
626,H,G,F,B
627,E,B,G,G
628,B,B,G,G
629,C,G,B,G
630,E,G,G,B
631,G,C,B,G
632,G,E,C,B
633,B,A,A,G
634,C,G,G,B
635,B,C,H,A
636,B,G,B,E
637,B,G,B,B
638,C,B,G,A
639,G,B,G,K
640,G,C,G,G
641,G,G,B,G
642,E,B,B,C
643,B,G,A,B
644,E,A,B,B
645,B,E,G,G
646,C,B,B,G
647,E,B,G,G
648,E,G,G,G
649,C,G,B,B
650,E,C,B,A
651,G,H,K,G
652,G,B,B,G
653,B,C,G,H
654,B,C,A,G
655,E,E,B,G
656,C,B,G,A
657,G,G,B,A
658,G,H,B,B
659,B,G,A,A
660,G,G,F,B
661,H,A,G,G
662,H,C,C,C
663,G,B,G,G
664,B,G,A,G
665,E,B,G,G
666,E,G,G,G
667,B,G,F,B
668,E,G,B,C
669,G,F,G,G
670,G,G,G,D
671,B,G,B,A
672,G,B,H,C
673,G,A,B,B
674,G,B,H,G
675,A,E,B,G
676,C,B,G,B
677,M,B,B,G
678,A,G,B,G
679,B,H,G,G
680,E,B,F,C
681,B,A,C,B
682,K,G,B,A
683,A,C,B,G
684,E,G,B,H
685,E,B,B,G
686,G,C,G,G
687,C,G,B,B
688,G,B,A,G
689,B,C,G,B
690,G,H,F,B
691,H,B,A,G
692,B,B,G,B
693,E,C,B,G
694,E,G,G,G
695,E,K,B,C
696,B,H,G,B
697,C,C,C,G
698,G,B,F,G
699,E,B,B,H
700,E,M,G,B
701,B,A,C,B
702,G,B,B,K
703,B,B,B,G
704,G,A,G,C
705,G,G,B,G
706,B,G,B,G
707,G,B,G,G
708,G,H,G,G
709,G,G,B,H
710,G,A,F,G
711,B,A,C,G
712,B,A,G,B
713,B,B,G,A
714,E,H,B,A
715,G,C,B,B
716,G,F,M,G
717,G,G,B,G
718,G,G,G,B
719,E,B,G,B
720,G,G,B,G
721,A,B,B,C
722,B,C,G,A
723,G,B,G,G
724,B,C,B,B
725,H,B,B,F
726,G,B,G,M
727,G,B,G,B
728,B,B,G,A
729,A,F,G,B
730,A,C,G,B
731,H,G,K,G
732,B,B,G,G
733,Q,B,G,B
734,E,A,B,A
735,A,B,B,B
736,A,M,G,B
737,M,B,B,M
738,E,C,E,F
739,B,B,G,B
740,K,C,B,B
741,G,G,A,B
742,H,A,B,B
743,G,B,B,C
744,C,B,B,G
745,C,G,B,G
746,A,G,E,B
747,B,D,H,G
748,C,B,G,G
749,G,G,B,G
750,C,G,G,G
751,B,C,E,G
752,G,B,H,G
753,G,G,G,G
754,G,F,G,B
755,G,B,G,G
756,B,B,A,G
757,B,A,G,G
758,G,G,E,B
759,E,B,G,B
760,A,B,C,H
761,B,C,G,G
762,B,B,G,B
763,C,H,F,G
764,B,C,G,B
765,B,B,G,B
766,G,C,G,G
767,G,C,B,A
768,G,A,C,G
769,G,G,G,B
770,G,A,B,B
771,C,A,C,G
772,E,G,G,C
773,H,A,A,G
774,H,G,G,A
775,G,B,G,G
776,G,C,A,F
777,G,G,G,G
778,G,B,G,G
779,F,G,G,B
780,E,G,G,C
781,G,B,B,G
782,C,C,G,G
783,I,A,G,A
784,B,B,G,B
785,B,G,B,B
786,B,G,G,B
787,A,B,G,B
788,G,A,G,B
789,E,B,B,G
790,C,B,B,G
791,G,B,G,G
792,B,M,B,G
793,C,B,G,G
794,E,B,B,G
795,B,A,E,C
796,C,B,A,G
797,E,C,B,A
798,E,C,H,A
799,G,B,G,B
800,C,G,B,B
801,G,C,G,B
802,E,C,G,E
803,E,B,B,A
804,G,C,B,C
805,A,B,G,B
806,G,B,G,G
807,C,A,G,G
808,H,A,B,G
809,G,G,A,G
810,G,A,G,G
811,G,B,B,C
812,B,G,G,A
813,B,G,G,B
814,G,B,G,G
815,G,A,G,G
816,B,B,G,A
817,G,G,B,F
818,B,B,M,G
819,E,G,G,G
820,B,G,B,G
821,E,H,G,B
822,E,I,H,B
823,G,C,B,G
824,E,G,G,M
825,C,B,G,B
826,E,G,A,A
827,C,G,G,F
828,G,G,A,B
829,Q,A,B,G
830,E,G,G,A
831,G,G,G,H
832,G,G,B,B
833,E,G,B,G
834,G,B,G,G
835,G,B,G,E
836,G,G,B,G
837,G,B,G,G
838,G,C,B,B
839,H,C,G,A
840,E,G,G,B
841,G,B,G,B
842,G,G,B,B
843,E,C,G,G
844,B,F,B,B
845,G,A,G,C
846,G,B,B,F
847,E,B,B,D
848,B,B,A,G
849,C,G,E,G
850,C,G,B,G
851,G,B,C,B
852,A,B,A,G
853,B,B,K,G
854,G,B,A,G
855,I,G,C,C
856,G,B,G,G
857,G,B,G,G
858,G,B,C,G
859,B,A,B,G
860,C,A,C,G
861,C,G,B,G
862,G,B,G,B
863,B,A,K,G
864,G,A,G,G
865,G,F,B,G
866,B,C,B,G
867,B,E,G,B
868,C,G,G,B
869,B,G,A,B
870,B,G,G,B
871,H,C,G,G
872,E,G,H,M
873,G,G,G,B
874,G,B,G,G
875,G,A,G,A
876,G,G,A,G
877,B,C,C,B
878,C,M,A,G
879,E,A,A,G
880,G,G,A,G
881,E,G,B,G
882,M,G,A,G
883,G,G,G,G
884,G,B,C,G
885,B,G,G,A
886,G,B,B,G
887,G,G,G,G
888,B,G,G,G
889,B,B,G,G
890,E,G,B,B
891,E,B,C,B
892,G,G,G,G
893,F,A,D,B
894,E,B,A,B
895,G,A,C,E
896,C,C,B,B
897,E,M,C,G
898,G,H,C,B
899,C,G,B,G
900,C,G,G,B
901,G,A,G,G
902,G,G,B,B
903,G,B,G,G
904,G,B,G,B
905,G,G,G,B
906,G,B,C,B
907,A,G,B,G
908,B,B,C,B
909,G,F,A,F
910,E,G,G,B
911,G,J,H,G
912,E,C,G,E
913,K,G,G,B
914,G,B,B,C
915,C,M,G,B
916,E,G,B,B
917,H,B,B,B
918,G,B,G,G
919,G,C,G,B
920,C,B,G,M
921,B,C,G,B
922,B,G,C,B
923,E,A,B,G
924,G,G,G,G
925,G,H,G,A
926,G,B,G,G
927,G,B,H,B
928,C,B,B,F
929,G,G,B,B
930,B,G,B,G
931,E,B,K,A
932,G,G,G,B
933,A,B,G,B
934,E,B,C,G
935,C,A,G,G
936,A,B,E,G
937,H,G,G,B
938,B,G,C,G
939,C,B,G,G
940,E,E,G,G
941,C,B,B,G
942,E,G,M,B
943,B,G,C,C
944,G,B,H,C
945,B,B,G,G
946,B,K,G,B
947,G,B,B,B
948,G,G,A,B
949,G,A,A,B
950,G,B,B,G
951,B,G,B,C
952,G,B,G,G
953,A,M,G,C
954,G,B,B,G
955,G,A,H,B
956,G,G,G,G
957,B,F,C,C
958,G,G,A,G
959,E,C,G,B
960,G,G,B,B
961,B,A,F,B
962,G,G,K,G
963,B,B,M,B
964,E,G,B,A
965,B,A,C,B
966,E,G,K,B
967,E,G,B,G
968,B,G,A,A
969,B,F,B,G
970,B,B,B,B
971,K,G,G,C
972,Q,G,G,B
973,E,B,B,B
974,H,G,A,G
975,G,B,B,B
976,G,H,B,G
977,G,B,B,Q
978,C,C,M,B
979,G,B,G,G
980,A,H,E,C
981,G,B,A,H
982,C,B,F,B
983,E,G,G,D
984,C,B,B,A
985,D,G,B,G
986,G,B,B,C
987,G,G,B,B
988,B,C,C,B
989,E,F,C,C
990,E,C,G,G
991,C,B,G,B
992,B,B,B,G
993,B,B,C,B
994,C,B,G,M
995,B,G,G,G
996,G,G,G,G
997,E,A,G,G
998,E,G,G,B
999,K,B,G,C
1000,C,A,G,G
1001,G,G,B,G
1002,E,G,A,B
1003,B,B,G,G
1004,B,F,G,G
1005,G,A,G,G
1006,E,B,B,G
1007,G,B,G,G
1008,E,G,G,P
1009,B,G,B,G
1010,E,G,B,G
1011,B,B,H,B
1012,E,B,G,G
1013,B,G,B,B
1014,A,H,B,G
1015,A,B,G,G
1016,E,G,B,G
1017,G,C,G,G
1018,G,F,E,G
1019,B,G,A,G
1020,B,B,G,G
1021,E,A,B,G
1022,B,G,B,B
1023,G,G,G,C
1024,B,G,G,G
1025,C,A,C,B
1026,C,C,G,A
1027,B,B,A,G
1028,G,B,G,G
1029,E,G,G,G
1030,G,B,F,B
1031,G,B,G,A
1032,C,G,G,C
1033,C,G,K,G
1034,E,B,C,C
1035,G,C,G,B
1036,E,F,G,G
1037,G,C,A,G
1038,G,C,G,G
1039,G,G,B,F
1040,C,G,B,A
1041,B,B,G,H
1042,H,G,B,G
1043,C,M,G,G
1044,B,B,G,B
1045,B,G,B,B
1046,A,G,B,G
1047,B,G,B,G
1048,C,B,A,B
1049,G,G,G,B
1050,A,B,G,B
1051,C,B,B,G
1052,B,G,G,G
1053,A,G,G,G
1054,B,B,G,B
1055,B,B,G,G
1056,G,G,G,G
1057,G,G,G,G
1058,E,G,C,B
1059,B,G,G,B
1060,G,B,A,A
1061,A,G,A,B
1062,G,K,B,G
1063,B,G,B,G
1064,G,G,G,C
1065,B,B,B,G
1066,G,B,B,G
1067,E,G,E,G
1068,M,B,A,G
1069,E,E,C,G
1070,C,G,B,B
1071,G,K,G,G
1072,H,G,B,G
1073,B,A,G,C
1074,G,B,G,B
1075,E,B,G,B
1076,H,G,G,G
1077,E,B,C,B
1078,G,G,A,G
1079,B,Q,B,G
1080,E,G,G,H
1081,G,G,B,G
1082,G,B,G,C
1083,B,B,G,C
